frame_ms,capture_ms,ready_ms,id,lane,kind,due_ms,revision
43842,43841,43850,204,2,TAP,43883,true
44009,44008,44018,205,1,TAP,44052,false
44175,44174,44184,206,3,TAP,44219,false
44342,44341,44350,207,2,DOWN,44386,false
44508,44507,44518,208,3,TAP,44556,false
44675,44674,44684,209,1,UP,44723,false
44842,44841,44850,210,2,TAP,44894,false
45009,45008,45017,211,3,DOWN,45060,false
45192,45191,45201,212,2,TAP,45232,false
45359,45358,45368,213,1,TAP,45400,false
45525,45524,45535,214,3,TAP,45567,false
45692,45691,45702,215,2,DOWN,45735,false
45859,45859,45869,216,3,TAP,45907,false
46025,46024,46034,217,1,UP,46071,false
46192,46191,46200,218,2,TAP,46243,false
46358,46357,46368,219,3,UP,46408,false
46525,46524,46534,220,2,TAP,46579,false
46708,46707,46713,221,3,LEFT,46747,false
46875,46874,46884,222,2,TAP,46916,false
47041,47040,47049,223,1,DOWN,47082,false
47209,47208,47218,224,2,TAP,47254,false
47375,47374,47384,225,3,UP,47420,false
47541,47540,47550,226,2,TAP,47591,false
47709,47708,47719,227,3,UP,47757,false
47875,47874,47884,228,2,TAP,47928,false
48042,48041,48050,229,3,LEFT,48095,false
48225,48224,48234,230,2,TAP,48266,false
48392,48391,48402,231,1,DOWN,48432,false
48558,48557,48567,232,2,TAP,48602,false
48726,48725,48736,233,3,UP,48768,false
48892,48891,48901,234,2,TAP,48939,false
49059,49058,49068,235,3,UP,49106,false
49225,49224,49234,236,2,TAP,49276,false
49392,49391,49400,237,1,UP,49442,false
49575,49574,49584,238,3,TAP,49614,false
49725,49724,49733,239,2,LEFT,49779,false
49908,49907,49918,240,3,TAP,49951,false
50076,50075,50085,241,1,DOWN,50118,false
50242,50241,50251,242,2,TAP,50289,false
50408,50407,50417,243,3,UP,50453,false
50576,50575,50586,244,2,TAP,50625,false
50742,50741,50747,245,1,TAP,50792,false
50908,50907,50918,246,3,TAP,50961,false
51075,51074,51084,247,2,UP,51127,false
51258,51257,51267,248,3,TAP,51299,false
51425,51424,51434,249,1,DOWN,51466,false
51592,51591,51601,250,2,TAP,51636,false
51758,51757,51768,251,3,UP,51801,false
51925,51924,51935,252,2,TAP,51973,false
52091,52090,52101,253,3,LEFT,52138,false
52258,52257,52266,254,2,TAP,52310,false
52425,52424,52435,255,1,DOWN,52477,false
52608,52607,52617,256,2,TAP,52647,false
52775,52774,52785,257,3,UP,52814,false
52942,52941,52952,258,2,TAP,52984,false
53108,53107,53118,259,3,UP,53150,false
53275,53274,53283,260,2,TAP,53322,false
53442,53441,53450,261,3,LEFT,53489,false
53609,53608,53613,262,2,TAP,53658,false
53775,53774,53785,263,1,DOWN,53824,false
53792,53791,53801,263,1,DOWN,53826,true
53941,53940,53951,264,2,TAP,53994,false
54108,54107,54118,265,3,UP,54160,false
54125,54124,54136,265,3,UP,54162,true
54292,54291,54302,266,2,TAP,54332,false
54458,54457,54466,267,3,UP,54499,false
54625,54624,54634,268,1,TAP,54670,false
54793,54792,54802,269,1,TAP,54839,false
54958,54957,54967,270,1,TAP,55006,false
55125,55124,55133,271,2,TAP,55176,false
55291,55290,55298,272,2,TAP,55343,false
55475,55474,55484,273,2,TAP,55513,false
55642,55641,55650,274,2,TAP,55682,false
55809,55808,55817,275,1,TAP,55850,false
55975,55974,55980,276,2,TAP,56017,false
56142,56141,56150,277,2,TAP,56186,false
56308,56307,56316,278,2,TAP,56354,false
56475,56474,56482,279,3,TAP,56524,false
56642,56641,56648,280,3,TAP,56692,false
56808,56807,56816,281,3,TAP,56860,false
56976,56975,56984,282,3,TAP,57030,false
57159,57158,57167,283,1,TAP,57198,false
57325,57324,57333,284,2,UP,57363,false
57492,57491,57502,285,1,TAP,57536,false
57658,57657,57666,286,2,UP,57700,false
57825,57824,57834,287,1,TAP,57872,false
57992,57991,58001,288,2,UP,58038,false
58158,58157,58167,289,1,TAP,58208,false
58325,58324,58335,290,2,UP,58375,false
