time_ms,gameplay,notes,processing_ms
11312,true,0,0.214
11320,true,0,0.138
11329,true,0,0.087
11336,true,0,0.112
11345,true,0,0.106
11354,true,0,0.152
11362,true,0,0.108
11370,true,0,0.103
11378,true,0,0.075
11387,true,0,0.074
11395,true,0,0.067
11403,true,0,0.063
11411,true,0,0.152
11420,true,1,0.555
11428,true,1,0.393
11436,true,1,0.422
11444,true,1,0.408
11452,true,1,0.425
11461,true,1,0.557
11470,true,1,0.422
11478,true,1,0.408
11486,true,1,0.518
11495,true,1,0.462
11504,true,1,0.404
11512,true,1,0.461
11519,true,1,0.414
11529,true,1,0.437
11537,true,1,0.441
11545,true,1,0.457
11553,true,1,0.483
11561,true,1,0.461
11571,true,1,0.549
11580,true,1,0.442
11585,true,1,0.432
11594,true,1,0.505
11611,true,1,0.467
11628,true,2,0.812
11645,true,2,0.798
11662,true,2,0.942
11679,true,2,0.868
11696,true,2,0.854
11711,true,2,0.862
11728,true,2,0.842
11745,true,2,0.921
11762,true,2,0.836
11778,true,2,0.922
11795,true,2,0.891
11811,true,2,1.452
11828,true,2,1.101
11845,true,2,1.347
11862,true,2,1.368
11878,true,1,0.491
11895,true,1,0.596
11903,true,1,0.895
11912,true,1,1.238
11920,true,1,0.528
11928,true,1,0.520
11938,true,1,0.501
11945,true,1,0.528
11954,true,1,0.596
11962,true,1,0.496
11970,true,1,0.488
11979,true,1,0.506
11987,true,1,0.486
11996,true,1,0.474
12004,true,1,0.499
12012,true,1,0.506
12020,true,1,0.551
12028,true,1,0.537
12041,true,1,1.096
12044,true,1,1.529
12052,true,1,0.858
12061,true,1,0.553
12069,true,1,1.169
12077,true,1,0.888
12086,true,1,0.737
12094,true,1,1.129
12103,true,1,0.511
12111,true,1,0.546
12119,true,1,0.571
12127,true,1,0.586
12135,true,1,0.518
12144,true,1,1.352
12152,true,1,0.651
12161,true,1,0.700
12170,true,1,0.705
12178,true,0,0.664
12187,true,0,0.487
12196,true,0,0.072
12203,true,0,0.080
12211,true,0,0.109
12229,true,0,0.139
12246,true,0,0.070
12262,true,0,0.083
12279,true,0,0.123
12296,true,1,1.080
12312,true,1,0.960
12328,true,1,0.414
12344,true,1,0.953
12363,true,1,4.737
12378,true,1,0.456
12395,true,1,1.034
12411,true,1,0.626
12427,true,1,0.432
12446,true,1,0.430
12462,true,1,0.957
12477,true,1,0.858
12494,true,1,0.487
12512,true,1,0.432
12527,true,2,1.775
12545,true,2,1.806
12561,true,2,0.868
12578,true,2,4.224
12594,true,2,0.998
12612,true,2,0.864
12628,true,2,0.829
12646,true,2,0.863
12661,true,2,1.079
12680,true,2,1.063
12695,true,2,0.945
12712,true,2,1.092
12728,true,2,1.107
12745,true,2,1.110
12762,true,2,0.998
12778,true,2,1.179
12795,true,1,0.504
12812,true,1,0.873
12828,true,1,0.644
