time_ms,lane,kind,y,score
6591,1,TAP,0.6418323,1.0000
6607,1,TAP,0.6524038,1.0000
6607,1,TAP,0.5115288,1.0000
6624,1,TAP,0.6629942,1.0000
6624,1,TAP,0.5211636,1.0000
6641,1,TAP,0.6735483,1.0000
6641,1,TAP,0.5298077,1.0000
6657,1,TAP,0.6841346,1.0000
6657,1,TAP,0.5394231,1.0000
6657,2,TAP,0.4735803,1.0000
6675,1,TAP,0.6947115,1.0000
6675,1,TAP,0.5490480,1.0000
6675,2,TAP,0.4826923,1.0000
6691,1,TAP,0.7057746,1.0000
6691,1,TAP,0.5586633,1.0000
6691,2,TAP,0.4918269,1.0000
6707,1,TAP,0.7167933,1.0000
6707,1,TAP,0.5682692,1.0000
6707,2,TAP,0.5009615,1.0000
6724,1,TAP,0.7278893,1.0000
6724,1,TAP,0.5778940,1.0000
6724,2,TAP,0.5096154,1.0000
6741,1,TAP,0.5875126,1.0000
6741,2,TAP,0.5192308,1.0000
6758,1,TAP,0.5976086,1.0000
6758,2,TAP,0.5283880,1.0000
6774,1,TAP,0.6076807,1.0000
6774,2,TAP,0.5375000,1.0000
6791,1,TAP,0.6177885,1.0000
6791,2,TAP,0.5471154,1.0000
6807,1,TAP,0.6278961,1.0000
6807,2,TAP,0.5567308,1.0000
6823,1,TAP,0.6379944,1.0000
6823,2,TAP,0.5663462,1.0000
6840,1,TAP,0.6485671,1.0000
6840,2,TAP,0.5759615,1.0000
6857,1,TAP,0.6591346,1.0000
6857,2,TAP,0.5864514,1.0000
6874,1,TAP,0.6697115,1.0000
6874,2,TAP,0.5956731,1.0000
6891,1,TAP,0.6798149,1.0000
6891,1,TAP,0.5355897,1.0000
6891,2,TAP,0.6052995,1.0000
6907,1,TAP,0.6903995,1.0000
6907,1,TAP,0.5451963,1.0000
6907,2,TAP,0.6158654,1.0000
6923,1,TAP,0.7014489,1.0000
6923,1,TAP,0.5548077,1.0000
6923,2,TAP,0.6254808,1.0000
6940,1,TAP,0.7125124,1.0000
6940,1,TAP,0.5644168,1.0000
6940,2,TAP,0.6360577,1.0000
6957,1,TAP,0.7235459,1.0000
6957,1,TAP,0.5740510,1.0000
6957,2,TAP,0.6466346,1.0000
6974,1,TAP,0.5836413,1.0000
6974,2,TAP,0.6562755,1.0000
6991,1,TAP,0.5937500,1.0000
6991,2,TAP,0.6673077,1.0000
7007,1,TAP,0.6038462,1.0000
7007,1,TAP,0.4687500,1.0000
7007,2,TAP,0.6783587,1.0000
7023,1,TAP,0.6139478,1.0000
7023,1,TAP,0.4774038,1.0000
7023,2,TAP,0.6884615,1.0000
7040,1,TAP,0.6240438,1.0000
7040,1,TAP,0.4865482,1.0000
7040,2,TAP,0.6995192,1.0000
7057,1,TAP,0.6341210,1.0000
7057,1,TAP,0.4951866,1.0000
7057,2,TAP,0.7101211,1.0000
7074,1,TAP,0.6447115,1.0000
7074,1,TAP,0.5048077,1.0000
7074,2,TAP,0.7211538,1.0000
7091,1,TAP,0.6547888,1.0000
7091,1,TAP,0.5134672,1.0000
7108,1,TAP,0.6649132,1.0000
7108,1,TAP,0.5230898,1.0000
7124,1,TAP,0.6754794,1.0000
7124,1,TAP,0.5322230,1.0000
7141,1,TAP,0.6865439,1.0000
7141,1,TAP,0.5413422,1.0000
7158,1,TAP,0.6975347,1.0000
7158,1,TAP,0.5509615,1.0000
7174,1,TAP,0.7081731,1.0000
7174,1,TAP,0.5605808,1.0000
7191,1,TAP,0.7187500,1.0000
7191,1,TAP,0.5704808,1.0000
7207,1,TAP,0.5798077,1.0000
7224,1,TAP,0.5899136,1.0000
7241,1,TAP,0.6000116,1.0000
7257,1,TAP,0.6100975,1.0000
7257,2,TAP,0.4740648,1.0000
7274,1,TAP,0.6201923,1.0000
7274,2,TAP,0.4826923,1.0000
7274,3,TAP,0.4826923,1.0000
7291,1,TAP,0.6302885,1.0000
7291,2,TAP,0.4918269,1.0000
7308,1,TAP,0.6408749,0.9032
7308,2,TAP,0.5009615,1.0000
7324,1,TAP,0.6504942,1.0000
7324,2,TAP,0.5105769,1.0000
7340,1,TAP,0.6610698,1.0000
7340,2,TAP,0.5192308,1.0000
7357,1,TAP,0.6716346,1.0000
7357,2,TAP,0.5288613,1.0000
7357,3,TAP,0.5288462,1.0000
7373,1,TAP,0.6822115,1.0000
7373,2,TAP,0.5379808,1.0000
7373,3,TAP,0.5379880,1.0000
7391,1,TAP,0.6927885,1.0000
7391,2,TAP,0.5476018,1.0000
